Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW,Kennarten
,,1a,1b,1c,1d,2,3,,
Achillea millefolium,Gewöhnliche Wiesenschafgarbe,,,,,X,,*,6510
Achillea nobilis,Edel-Schafgarbe,,,,,,X,3,
Achillea ptarmica,Sumpf-Schafgarbe,,,,,,X,*,
Aegopodium podagraria,Giersch,X,X,,,,,*,
Agrimonia eupatoria,Gewöhnlicher Odermennig,,X,,,X,,*,
Agrostis capillaris,Rotes Straußgras,,,,,,X,*,6230
Agrostis stolonifera,Weißes Straußgras,X,,X,,,,*,
Agrostis vinealis,Sand-Straußgras,,,,,,X,V,
Ajuga genevensis,Genfer Günsel,,,,,,X,*,
Ajuga reptans,Kriechender Günsel,,,,,X,,*,
Alchemilla glaucescens,Filz-Frauenmantel,,,,,,X,3,6230
Alchemilla monticola,Bergwiesen-Frauenmantel,,,,,,X,*,6510
Alchemilla vulgaris,Spitzlappiger Frauenmantel,,,,,X,,*,
Alchemilla vulgaris agg.,Artengruppe Gewöhnlicher Frauenmantel,,,,,X,,-,
Alchemilla xanthochlora,Gelbgrüner Frauenmantel,,,,,X,,*,6510
Alopecurus pratensis,Wiesen-Fuchsschwanz,X,,,,X,,*,6510
Anemone nemorosa,Busch-Windröschen,,,,,,X,*,
Angelica sylvestris,Wilde Engelwurz,,,,,,X,*,33.20
Anthoxanthum odoratum,Gewöhnliches Ruchgras,,,,,,X,*,6510
Anthriscus sylvestris,Wiesen-Kerbel,X,,,,,,*,
Anthyllis vulneraria,Gewöhnlicher Wundklee,,,,,,X,V,
Aquilegia vulgaris,Gewöhnliche Akelei,,,,,,X,V,
Arabis hirsuta,Rauhe Gänsekresse,,,,,,X,*,6210
Armoracia rusticana,Meerrettich,,,X,,,,*,
Arrhenatherum elatius,Glatthafer,,,,,X,,*,6510
Aster amellus,Kalk-Aster,,,,,,X,V,
Astrantia major,Große Sterndolde,,,,,,X,*,6520
Bellis perennis,Ausdauerndes Gänseblümchen,,,X,,,,*,
Betonica officinalis,Heilziest,,,,,,X,*,6410
Bistorta officinalis,Wiesen-Knöterich,,,,,X,,*,6520
Botrychium lunaria,Echte Mondraute,,,,,,X,2,6230
Brachypodium pinnatum,Fieder-Zwenke,,,,,X,,*,6210
Briza media,Gewöhnliches Zittergras,,,,,,X,*,6510
Bromus erectus,Aufrechte Trespe,,,,,,X,*,6210
Bromus hordeaceus,Weiche Trespe,,,X,,X,,*,
Bromus sterilis,Taube Trespe,,,X,,,,*,
Calamagrostis epigejos,Land-Reitgras,,X,,,,,*,
Campanula glomerata,Büschel-Glockenblume,,,,,,X,V,6212
Campanula patula,Wiesen-Glockenblume,,,,,,X,*,6510
Campanula rapunculus,Rapunzel-Glockenblume,,,,,,X,*,
Campanula rotundifolia,Rundblättrige Glockenblume,,,,,,X,*,6510
Capsella bursa-pastoris,Gewöhnliches Hirtentäschel,,,X,,,,*,
Cardamine pratensis,Wiesen-Schaumkraut,,,,,X,,*,6510
Carex acutiformis,Sumpf-Segge,,,,,X,,*,33.20
Carex brizoides,Zittergras-Segge,,X,,,,,*,
Carex caryophyllea,Frühlings-Segge,,,,,,X,*,6210
Carex flacca,Blau-Segge,,,,,,X,*,33.21
Carex hirta,Behaarte Segge,,,X,,,,*,
Carex leporina,Hasen-Segge,,,,,,X,*,
Carex montana,Berg-Segge,,,,,,X,*,
Carex muricata agg.,Artengruppe Sparrige Segge,,,,,X,,-,
Carex ornithopoda,Vogelfuß-Segge,,,,,,X,*,
Carex pallescens,Bleiche Segge,,,,,,X,*,6230
Carex pilulifera,Pillen-Segge,,,,,,X,*,6230
Carex praecox agg.,Artengruppe Frühe Segge,,,,,,X,-,
Carex sylvatica,Wald-Segge,,,,,X,,*,
Carex tomentosa,Filz-Segge,,,,,,X,3,6411
Carum carvi,Wiesen-Kümmel,,,,,,X,*,6510
Centaurea jacea,Wiesen-Flockenblume,,,,,,X,*,6510
Centaurea montana,Berg-Flockenblume,,,,,,X,*,
Centaurea nigra subsp. nemoralis,Hain-Flockenblume,,,,,,X,*,6510
Centaurea pseudophrygia,Perücken-Flockenblume,,,,,,X,3,6520
Centaurea scabiosa,Skabiosen-Flockenblume,,,,,,X,*,6210
Cerastium brachypetalum,Kleinblütiges Hornkraut,,,,,,X,V,
Cerastium holosteoides,Gewöhnliches Hornkraut,,,,,X,,*,
Chaerophyllum aureum,Gold-Kälberkropf,,X,,,,,*,
Chaerophyllum hirsutum,Berg-Kälberkropf,,X,,,,,*,6520
Cichorium intybus,Gewöhnliche Wegwarte,,,X,,,,*,
Cirsium arvense,Acker-Kratzdistel,X,,X,,,,*,
Cirsium eriophorum,Wollköpfige Kratzdistel,,,X,,,,*,
Cirsium oleraceum,Kohldistel,,,,,X,,*,6510
Cirsium vulgare,Gewöhnliche Kratzdistel,,X,X,,,,*,
Colchicum autumnale,Herbst-Zeitlose,,,,,X,,*,
Convolvulus arvensis,Acker-Winde,,,X,,,,*,
Crepis biennis,Wiesen-Pippau,,,,,X,,*,6510
Crepis capillaris,Grüner Pippau,,,X,,,,*,
Crepis mollis,Weichhaariger Pippau,,,,,,X,3,6520
Cuscuta epithymum,Thymian-Seide,,,,,,X,V,6230
Cynosurus cristatus,Wiesen-Kammgras,,,,,X,,*,
Dactylis glomerata,Wiesen-Knäuelgras,X,,,,X,,*,6510
Danthonia decumbens,Dreizahn,,,,,,X,*,4030
Daucus carota,Wilde Möhre,,,,,,X,*,6510
Deschampsia cespitosa,Rasen-Schmiele,,,,,X,,*,
Dianthus carthusianorum,Karthäuser-Nelke,,,,,,X,V,6212
Elymus repens,Kriechende Quecke,X,,X,,,,*,
Equisetum arvense,Acker-Schachtelhalm,,,X,,,,*,
Erigeron annuus,Einjähriger Feinstrahl,,X,X,,,,*,
Erigeron canadensis,Kanadischer Katzenschweif,,,X,,,,-,
Euphorbia cyparissias,Zypressen-Wolfsmilch,,,,,,X,*,6210
Euphorbia verrucosa,Warzen-Wolfsmilch,,,,,,X,*,6212
Euphrasia officinalis,Wiesen-Augentrost ,,,,,,X,*,
Euphrasia stricta,Steifer Augentrost,,,,,,X,*,
Festuca arundinacea,Rohr-Schwingel,,,,,X,,*,
Festuca filiformis,Dünnblättriger Schafschwingel,,,,,,X,V,6230
Festuca nigrescens,Horst-Rotschwingel,,,,,,X,*,6230
Festuca ovina agg.,Artengruppe Schafschwingel,,,,,,X,-,6210
Festuca pratensis,Wiesen-Schwingel,,,,,X,,*,6510
Festuca rubra,Echter Rotschwingel,,,,,,X,*,6510
Filipendula ulmaria,Mädesüß,,,,,X,,*,33.20
Filipendula vulgaris,Knollige Spierstaude,,,,,,X,3,6211
Fragaria vesca,Wald-Erdbeere,,X,,,,,*,
Galeopsis tetrahit,Gewöhnlicher Hohlzahn,X,X,X,,,,*,
Galium album,Weißes Wiesenlabkraut,,,,,X,,*,6510
Galium mollugo agg.,Artengruppe Wiesenlabkraut,,,,,X,,-,
Galium verum,Echtes Labkraut,,,,,,X,*,6210
Genista sagittalis,Flügel-Ginster,,,,,,X,*,6230
Geranium columbinum,Tauben-Storchschnabel,,,X,,,,*,
Geranium dissectum,Schlitzblättriger Storchschnabel,,,X,,,,*,
Geranium pratense,Wiesen-Storchschnabel,,,,,X,,*,6510
Geranium sylvaticum,Wald-Storchschnabel,,,,,X,,*,6520
Geum rivale,Bach-Nelkenwurz,,,,,,X,*,6510
Geum urbanum,Echte Nelkenwurz,,X,X,,,,*,
Glechoma hederacea,Gundelrebe,X,,,,,,*,
Helianthemum nummularium,Gewöhnliches Sonnenröschen,,,,,,X,V,
Helianthemum nummularium subsp. obscurum,Eiblättriges Sonnenröschen,,,,,,X,*,
Helictotrichon pratense,Echter Wiesenhafer,,,,,,X,V,
Helictotrichon pubescens,Flaumiger Wiesenhafer,,,,,,X,*,6510
Heracleum sphondylium,Wiesen-Bärenklau,X,,,,X,,*,6510
Hieracium pilosella,Kleines Habichtskraut,,,,,,X,*,6230
Holcus lanatus,Wolliges Honiggras,,,,,X,,*,6510
Holcus mollis,Weiches Honiggras,,X,X,,,,*,
