Wissenschaftlicher Name,Deutscher Name,Bewertung,,,,,,RL BW
,,1a,1b,1c,1d,2,3,
Achillea millefolium,Gewöhnliche Wiesenschafgarbe,,,,,X,,*
Achillea nobilis,Edel-Schafgarbe,,,,,,X,3
Achillea ptarmica,Sumpf-Schafgarbe,,,,,,X,*
Aegopodium podagraria,Giersch,X,X,,,,,*
Agrimonia eupatoria,Gewöhnlicher Odermennig,,X,,,X,,*
Agrostis capillaris,Rotes Straußgras,,,,,,X,*
Agrostis stolonifera,Weißes Straußgras,X,,X,,,,*
Agrostis vinealis,Sand-Straußgras,,,,,,X,V
Ajuga genevensis,Genfer Günsel,,,,,,X,*
Ajuga reptans,Kriechender Günsel,,,,,X,,*
Alchemilla glaucescens,Filz-Frauenmantel,,,,,,X,3
Alchemilla monticola,Bergwiesen-Frauenmantel,,,,,,X,*
Alchemilla vulgaris,Stumpfzähniger Frauenmantel,,,,,X,,*
Alchemilla vulgaris agg.,Stumpfzähniger Frauenmantel,,,,,X,,*
Alchemilla xanthochlora,Gelbgrüner Frauenmantel,,,,,X,,*
Alopecurus pratensis,Wiesen-Fuchsschwanz,X,,,,X,,*
Anemone nemorosa,Busch-Windröschen,,,,,,X,*
Angelica sylvestris,Wilde Engelwurz,,,,,,X,*
Anthoxanthum odoratum,Gewöhnliches Ruchgras,,,,,,X,*
Anthriscus sylvestris,Glanz-Kerbel,X,,,,,,*
Anthyllis vulneraria,Wiesen-Kerbel (i.e.S.),,,,,,X,*
Aquilegia vulgaris,Gewöhnliche Akelei,,,,,,X,V
Arabis hirsuta,Rauhe Gänsekresse,,,,,,X,*
Armoracia rusticana,Meerrettich,,,X,,,,*
Arrhenatherum elatius,Glatthafer,,,,,X,,*
Aster amellus,Kalk-Aster,,,,,,X,V
Astrantia major,Große Sterndolde,,,,,,X,*
Bellis perennis,Ausdauerndes Gänseblümchen,,,X,,,,*
Betonica officinalis,Heilziest,,,,,,X,*
Bistorta officinalis,Elsässer Brillenschötchen,,,,,X,,3
Botrychium lunaria,Echte Mondraute,,,,,,X,2
Brachypodium pinnatum,Fieder-Zwenke,,,,,X,,*
Briza media,Gewöhnliches Zittergras,,,,,,X,*
Bromus erectus,Aufrechte Trespe,,,,,,X,*
Bromus hordeaceus,Weiche Trespe,,,X,,X,,*
Bromus sterilis,Taube Trespe,,,X,,,,*
Calamagrostis epigejos,Land-Reitgras,,X,,,,,*
Campanula glomerata,Büschel-Glockenblume,,,,,,X,V
Campanula patula,Wiesen-Glockenblume,,,,,,X,*
Campanula rapunculus,Rapunzel-Glockenblume,,,,,,X,*
Campanula rotundifolia,Rundblättrige Glockenblume,,,,,,X,*
Capsella bursa-pastoris,Gewöhnliches Hirtentäschel,,,X,,,,*
Cardamine pratensis,Wiesen-Schaumkraut,,,,,X,,*
Carex acutiformis,Sumpf-Segge,,,,,X,,*
Carex brizoides,Zittergras-Segge,,X,,,,,*
Carex caryophyllea,Frühlings-Segge,,,,,,X,*
Carex flacca,Blau-Segge,,,,,,X,*
Carex hirta,Behaarte Segge,,,X,,,,*
Carex leporina,Schuppenfrüchtige Gelbsegge,,,,,,X,3
Carex montana,Berg-Segge,,,,,,X,*
Carex muricata agg.,Sparrige Segge,,,,,X,,*
Carex ornithopoda,Vogelfuß-Segge,,,,,,X,*
Carex pallescens,Bleiche Segge,,,,,,X,*
Carex pilulifera,Pillen-Segge,,,,,,X,*
Carex praecox agg.,Frühe Segge,,,,,,X,3
Carex sylvatica,Wald-Segge,,,,,X,,*
Carex tomentosa,Filz-Segge,,,,,,X,3
Carum carvi,Wiesen-Kümmel,,,,,,X,*
Centaurea jacea,Wiesen-Flockenblume,,,,,,X,*
Centaurea montana,Berg-Flockenblume,,,,,,X,*
Centaurea nigra subsp. nemoralis,Hain-Flockenblume,,,,,,X,*
Centaurea pseudophrygia,Perücken-Flockenblume,,,,,,X,3
